Model,CV Mean,CV Std,Val Accuracy,Test Accuracy
K-Nearest Neighbors,0.9555555555555555,0.041573970964154924,0.9333333333333333,1.0
SVM (RBF),0.9555555555555555,0.06478835438717,0.9333333333333333,1.0
Gradient Boosting,0.9777777777777779,0.027216552697590882,0.9333333333333333,0.9666666666666667
Naive Bayes,0.9777777777777779,0.027216552697590882,0.9333333333333333,0.9666666666666667
Logistic Regression,0.9777777777777779,0.027216552697590882,0.9333333333333333,0.9333333333333333
Decision Tree,0.9666666666666666,0.027216552697590882,0.9333333333333333,0.9333333333333333
Random Forest,0.9777777777777779,0.027216552697590882,0.9333333333333333,0.9333333333333333
